age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y;y_binary;predicted_prob
30;unemployed;married;primary;no;1787;no;no;cellular;19;oct;79;1;-1;0;unknown;no;0;0.0479697550144731
33;services;married;secondary;no;4789;yes;yes;cellular;11;may;220;1;339;4;failure;no;0;0.085748928745661
35;management;single;tertiary;no;1350;yes;no;cellular;16;apr;185;1;330;1;failure;no;0;0.0723351322917348
30;management;married;tertiary;no;1476;yes;yes;unknown;3;jun;199;4;-1;0;unknown;no;0;0.0532711747609061
59;blue-collar;married;secondary;no;0;yes;no;unknown;5;may;226;1;-1;0;unknown;no;0;0.107639946510365
35;management;single;tertiary;no;747;no;no;cellular;23;feb;141;2;176;3;failure;no;0;0.0558071307681278
36;self-employed;married;tertiary;no;307;yes;no;cellular;14;may;341;1;330;2;other;no;0;0.118754027768269
39;technician;married;secondary;no;147;yes;no;cellular;6;may;151;2;-1;0;unknown;no;0;0.0598761823261772
41;entrepreneur;married;tertiary;no;221;yes;no;unknown;14;may;57;2;-1;0;unknown;no;0;0.0446923731006068
43;services;married;primary;no;-88;yes;yes;cellular;17;apr;313;1;147;2;failure;no;0;0.117074506730874
39;services;married;secondary;no;9374;yes;no;unknown;20;may;273;1;-1;0;unknown;no;0;0.121200675508473
43;admin.;married;secondary;no;264;yes;no;cellular;17;apr;113;2;-1;0;unknown;no;0;0.0555498743476298
36;technician;married;tertiary;no;1109;no;no;cellular;13;aug;328;2;-1;0;unknown;no;0;0.105742687893346
20;student;single;secondary;no;502;no;no;cellular;30;apr;261;1;-1;0;unknown;yes;1;0.0757368125513989
31;blue-collar;married;secondary;no;360;yes;yes;cellular;29;jan;89;1;241;1;failure;no;0;0.048596676044507
40;management;married;tertiary;no;194;no;yes;cellular;29;aug;189;2;-1;0;unknown;no;0;0.0689608919199575
56;technician;married;secondary;no;4073;no;no;cellular;27;aug;239;5;-1;0;unknown;no;0;0.0814050065043423
37;admin.;single;tertiary;no;2317;yes;no;cellular;20;apr;114;1;152;2;failure;no;0;0.0598047961421428
25;blue-collar;single;primary;no;-221;yes;no;unknown;23;may;250;1;-1;0;unknown;no;0;0.0764207483817347
31;services;married;secondary;no;132;no;no;cellular;7;jul;148;1;152;1;other;no;0;0.0590558224980515
38;management;divorced;unknown;no;0;yes;no;cellular;18;nov;96;2;-1;0;unknown;no;0;0.0488833910639751
42;management;divorced;tertiary;no;16;no;no;cellular;19;nov;140;3;-1;0;unknown;no;0;0.0541550599888004
44;services;single;secondary;no;106;no;no;unknown;12;jun;109;2;-1;0;unknown;no;0;0.0552961117912146
44;entrepreneur;married;secondary;no;93;no;no;cellular;7;jul;125;2;-1;0;unknown;no;0;0.0583547415194847
26;housemaid;married;tertiary;no;543;no;no;cellular;30;jan;169;3;-1;0;unknown;no;0;0.049345951473751
41;management;married;tertiary;no;5883;no;no;cellular;20;nov;182;2;-1;0;unknown;no;0;0.077835269970361
55;blue-collar;married;primary;no;627;yes;no;unknown;5;may;247;1;-1;0;unknown;no;0;0.111265996622916
67;retired;married;unknown;no;696;no;no;telephone;17;aug;119;1;105;2;failure;no;0;0.0851828231615278
56;self-employed;married;secondary;no;784;no;yes;cellular;30;jul;149;2;-1;0;unknown;no;0;0.0747286797609127
53;admin.;married;secondary;no;105;no;yes;cellular;21;aug;74;2;-1;0;unknown;no;0;0.0550617021441219
68;retired;divorced;secondary;no;4189;no;no;telephone;14;jul;897;2;-1;0;unknown;yes;1;0.602082315291289
31;technician;married;secondary;no;171;no;no;cellular;27;aug;81;3;-1;0;unknown;no;0;0.038566105424708
59;management;married;secondary;no;42;no;no;cellular;21;nov;40;1;-1;0;unknown;no;0;0.0583390767573109
32;management;single;tertiary;no;2536;yes;no;cellular;26;aug;958;6;-1;0;unknown;yes;1;0.423302587951318
49;technician;married;tertiary;no;1235;no;no;cellular;13;aug;354;3;-1;0;unknown;yes;1;0.12263193207908
42;admin.;divorced;secondary;no;1811;yes;no;unknown;14;may;150;1;-1;0;unknown;no;0;0.0710142004461104
78;retired;divorced;primary;no;229;no;no;telephone;22;oct;97;1;-1;0;unknown;yes;1;0.089763860935103
32;blue-collar;married;secondary;no;2089;yes;no;cellular;14;nov;132;1;-1;0;unknown;yes;1;0.0593341593756273
33;management;married;secondary;no;3935;yes;no;cellular;6;may;765;1;342;2;failure;yes;1;0.393494462313284
23;services;single;tertiary;no;363;yes;no;unknown;30;may;16;18;-1;0;unknown;no;0;0.00597664334074442
38;management;single;tertiary;no;11971;yes;no;unknown;17;nov;609;2;101;3;failure;no;0;0.304025552193941
36;management;single;tertiary;no;553;no;no;cellular;11;aug;106;2;-1;0;unknown;no;0;0.0499543320538164
52;blue-collar;married;secondary;no;1117;yes;no;cellular;13;may;365;1;-1;0;unknown;no;0;0.156749266123087
32;technician;married;tertiary;no;396;yes;no;cellular;13;may;205;3;-1;0;unknown;no;0;0.0599697851828652
32;technician;single;tertiary;no;2204;yes;no;cellular;21;nov;11;4;-1;0;unknown;no;0;0.0291132005707098
34;management;single;tertiary;no;872;yes;no;unknown;7;may;105;2;-1;0;unknown;no;0;0.0488962665064558
55;blue-collar;married;primary;no;145;no;no;telephone;2;feb;59;3;5;2;other;no;0;0.0486749979137139
26;blue-collar;married;primary;no;0;yes;no;unknown;21;may;425;1;-1;0;unknown;no;0;0.136444565546911
32;entrepreneur;single;primary;yes;-849;yes;yes;cellular;4;feb;204;1;-1;0;unknown;no;0;0.070531086605727
61;admin.;married;unknown;no;4629;yes;no;cellular;27;jan;181;1;92;1;success;yes;1;0.105850889046075
45;blue-collar;divorced;primary;no;844;no;no;unknown;5;jun;1018;3;-1;0;unknown;yes;1;0.5868623739191
37;technician;single;secondary;no;228;yes;no;cellular;20;aug;1740;2;-1;0;unknown;no;0;0.948948658061451
38;technician;single;secondary;no;50;no;no;cellular;29;aug;98;2;-1;0;unknown;no;0;0.0492766565395738
34;technician;married;tertiary;no;1539;yes;no;cellular;15;jun;441;1;56;1;other;yes;1;0.16224854375452
53;blue-collar;married;secondary;no;2231;yes;no;cellular;14;jul;272;3;-1;0;unknown;no;0;0.101268453664434
48;admin.;married;secondary;no;3064;yes;no;telephone;15;jul;159;2;-1;0;unknown;no;0;0.0737156565308082
57;management;married;secondary;no;82;no;yes;telephone;4;feb;140;1;-1;0;unknown;no;0;0.0795485494241546
33;self-employed;single;tertiary;no;2155;no;no;cellular;17;nov;295;1;-1;0;unknown;no;0;0.103079059626359
36;retired;single;secondary;no;101;yes;yes;unknown;26;may;314;1;-1;0;unknown;no;0;0.108485265393525
54;technician;divorced;secondary;no;784;yes;yes;unknown;15;may;579;1;-1;0;unknown;no;0;0.289826417715217
41;blue-collar;married;primary;no;-516;no;yes;telephone;8;jul;554;3;-1;0;unknown;no;0;0.197561217422883
63;retired;married;secondary;no;415;yes;no;cellular;7;oct;323;1;-1;0;unknown;no;0;0.154093486204832
48;management;married;tertiary;no;5887;no;no;cellular;13;aug;227;2;-1;0;unknown;no;0;0.0982889849399932
48;services;married;secondary;no;1355;no;no;cellular;4;jul;134;2;-1;0;unknown;no;0;0.0651674042312049
56;admin.;married;secondary;no;16873;no;no;cellular;7;oct;223;1;-1;0;unknown;no;0;0.14878187564597
51;blue-collar;divorced;secondary;no;203;yes;no;cellular;8;may;134;1;170;5;failure;no;0;0.0725788673046189
31;services;married;secondary;no;338;yes;no;cellular;28;jan;155;1;-1;0;unknown;no;0;0.0607603572359555
29;technician;married;secondary;no;444;yes;no;cellular;21;jul;130;4;-1;0;unknown;no;0;0.040525699031581
41;management;married;secondary;no;0;no;yes;cellular;7;jul;630;3;-1;0;unknown;no;0;0.246749883946284
32;technician;single;tertiary;no;360;no;no;cellular;19;nov;164;2;-1;0;unknown;no;0;0.0575431373166678
37;management;married;tertiary;no;0;no;no;cellular;16;jul;268;2;182;3;success;yes;1;0.0859170025681043
42;entrepreneur;divorced;tertiary;yes;2;yes;no;unknown;5;may;380;1;-1;0;unknown;no;0;0.142919868773657
31;management;single;tertiary;no;6248;yes;no;unknown;9;may;154;2;-1;0;unknown;no;0;0.0630902227078558
41;services;married;tertiary;no;412;yes;no;unknown;3;jun;154;5;-1;0;unknown;no;0;0.0464512512199991
56;retired;married;secondary;no;344;yes;no;unknown;15;may;221;1;-1;0;unknown;no;0;0.102958011284657
54;management;divorced;tertiary;no;3222;no;no;cellular;14;aug;67;2;-1;0;unknown;no;0;0.0586149304638411
41;blue-collar;divorced;secondary;no;174;yes;no;cellular;14;may;367;2;297;1;other;no;0;0.124426578397045
40;technician;single;secondary;no;591;no;yes;cellular;14;aug;87;6;-1;0;unknown;no;0;0.0330772298099625
50;blue-collar;divorced;primary;no;388;no;no;cellular;5;feb;701;1;-1;0;unknown;no;0;0.372329830586119
40;unemployed;married;secondary;no;219;yes;no;cellular;17;nov;204;2;196;1;failure;no;0;0.072539549759613
27;admin.;divorced;secondary;no;451;yes;no;cellular;16;jul;652;1;-1;0;unknown;yes;1;0.267772307468579
60;retired;married;primary;no;5;no;no;cellular;26;aug;63;2;-1;0;unknown;no;0;0.0578429363552214
28;admin.;single;secondary;no;177;yes;yes;cellular;6;may;150;1;-1;0;unknown;no;0;0.05729891464945
52;services;married;secondary;no;657;no;no;telephone;7;jul;398;2;460;2;failure;yes;1;0.157116445843744
37;management;married;tertiary;no;1315;no;no;cellular;30;jun;224;1;-1;0;unknown;yes;1;0.0842930821242221
51;blue-collar;married;primary;no;1466;yes;no;unknown;7;may;406;2;-1;0;unknown;no;0;0.161872650946094
41;technician;single;secondary;no;879;no;yes;cellular;7;jul;60;4;-1;0;unknown;no;0;0.0375702696278465
35;blue-collar;single;primary;no;293;yes;no;unknown;30;may;521;2;-1;0;unknown;no;0;0.185973368402775
38;admin.;married;secondary;no;424;yes;no;cellular;17;apr;279;1;-1;0;unknown;no;0;0.100029889828719
34;blue-collar;married;secondary;no;1831;yes;no;unknown;20;may;203;2;-1;0;unknown;no;0;0.0696340980690152
39;blue-collar;married;primary;no;111;no;no;cellular;18;nov;201;2;-1;0;unknown;no;0;0.0707490849397814
34;blue-collar;married;primary;no;455;yes;no;unknown;20;jun;372;3;-1;0;unknown;no;0;0.106737557445022
27;services;single;secondary;no;-195;yes;no;cellular;18;may;391;1;-1;0;unknown;yes;1;0.123624183484913
32;management;single;tertiary;no;3616;no;no;cellular;14;aug;165;2;-1;0;unknown;no;0;0.0623315175526631
57;blue-collar;married;secondary;no;14093;no;no;cellular;11;aug;231;5;-1;0;unknown;no;0;0.100829818373678
41;unknown;single;tertiary;no;1567;no;no;cellular;1;jul;291;2;-1;0;unknown;no;0;0.100742579241513
41;admin.;married;tertiary;no;5426;yes;no;unknown;14;may;149;2;-1;0;unknown;no;0;0.0690124098843062
30;admin.;single;tertiary;no;261;no;no;cellular;19;oct;233;1;137;20;failure;no;0;0.0777254365857023
36;blue-collar;divorced;secondary;no;2843;no;no;cellular;12;feb;473;1;182;1;success;no;0;0.187360576079374
31;unemployed;single;primary;no;406;no;no;cellular;4;feb;736;1;-1;0;unknown;yes;1;0.342567396065086
36;blue-collar;married;secondary;no;0;yes;no;unknown;6;may;337;1;-1;0;unknown;no;0;0.116467836786916
